Variable,Label,Type,Description
OTHER_EDUPER_NONDIS,Other education destination (percentage),PCT,"Pupils in other sustained education destinations. Includes pupils in higher education institutions, special schools, special post-16 institutions, alternative provision or pupil referral units, independent schools or colleges, or pupils only meeting the October to March participation criteria through a combination of more than one type of education provider."
NOT_SUSTAINEDPER_NONDIS,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage),PCT,Pupils not staying in education or employment. Pupils either had some education or employment participation in the destination year but it was not sustained from October to March or the pupils had no participation at all and were known to be NEET at some time in the destination year.
UNKNOWNPER_NONDIS,Activity not captured (percentage),PCT,"Pupils with no activity captured in data. Pupils were not found in an education or employment destination. Possible reasons for this could be that the pupil was living, working or studying abroad; attending a Scottish, Welsh or Northern Irish school or college; undertaking activity other than paid employment or study in the UK; or was not successfully matched to a record in our data sources."
COHORT_18,Number of pupils completing key stage 4 in 2015/16,INTEGER,
OVERALL_DESTPER_18,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2015/16 leavers),PCT,Pupils who have been in any sustained education or employment for at least 2 terms after key stage 4 
COHORT_DIS_18,Number of disadvantaged pupils completing key stage 4 in 2015/16,INTEGER,
OVERALL_DESTPER_DIS_18,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2015/16 leavers),PCT,Pupils who have been in any sustained education or employment for at least 2 terms after key stage 4 
COHORT_NONDIS_18,Number of pupils not identified as disadvantaged completing key stage 4 in 2015/16,INTEGER,
OVERALL_DESTPER_NONDIS_18,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2015/16 leavers),PCT,Pupils who have been in any sustained education or employment for at least 2 terms after key stage 4 
COHORT_17,Number of pupils completing key stage 4 in 2014/15,INTEGER,
OVERALL_DESTPER_17,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2014/15 leavers),PCT,Pupils who have been in any sustained education or employment for at least 2 terms after key stage 4 
COHORT_DIS_17,Number of disadvantaged pupils completing key stage 4 in 2014/15,INTEGER,
OVERALL_DESTPER_DIS_17,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2014/15 leavers),PCT,Pupils who have been in any sustained education or employment for at least 2 terms after key stage 4 
COHORT_NONDIS_17,Number of pupils not identified as disadvantaged completing key stage 4 in 2014/15,INTEGER,
OVERALL_DESTPER_NONDIS_17,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2014/15 leavers),PCT,Pupils who have been in any sustained education or employment for at least 2 terms after key stage 4 
